hhst_id,ea,haushalt,einzelplan,aufgabenbereich,bereich_code,bereich,untergruppe_code,untergruppe,einrichtung_code,einrichtung,posten,themen,route_einrichtung,route_posten,route_themen
0000.1198,E,verwaltung,0,Allgemeine Verwaltung,00,Bürgermeister & Stadtrat,000,,0000,Bürgermeister und Stadträte,Umsatzsteuer aus steuer- pflichtigen Entgelten,Verwaltung & Rathaus,/einrichtung/0000,/posten/0000.1198,/themen/verwaltung
0000.1650,E,verwaltung,0,Allgemeine Verwaltung,00,Bürgermeister & Stadtrat,000,,0000,Bürgermeister und Stadträte,Erstattungen durch kommunale Sonderrechnungen,Verwaltung & Rathaus,/einrichtung/0000,/posten/0000.1650,/themen/verwaltung
0000.1651,E,verwaltung,0,Allgemeine Verwaltung,00,Bürgermeister & Stadtrat,000,,0000,Bürgermeister und Stadträte,Verwaltungskostenbeitrag,Verwaltung & Rathaus,/einrichtung/0000,/posten/0000.1651,/themen/verwaltung
0000.1692,E,verwaltung,0,Allgemeine Verwaltung,00,Bürgermeister & Stadtrat,000,,0000,Bürgermeister und Stadträte,Innere Verrechnungen Verwaltungskostenbeiträge,Verwaltung & Rathaus,/einrichtung/0000,/posten/0000.1692,/themen/verwaltung
0000.3454,E,vermoegen,0,Allgemeine Verwaltung,00,Bürgermeister & Stadtrat,000,,0000,Bürgermeister und Stadträte,Verkauf von Fahrzeugen und Zubehör,Verwaltung & Rathaus,/einrichtung/0000,/posten/0000.3454,/themen/verwaltung
0000.4090,A,verwaltung,0,Allgemeine Verwaltung,00,Bürgermeister & Stadtrat,000,,0000,Bürgermeister und Stadträte,Aufwendungen für ehrenamtliche Tätigkeit,Verwaltung & Rathaus,/einrichtung/0000,/posten/0000.4090,/themen/verwaltung
0000.4097,A,verwaltung,0,Allgemeine Verwaltung,00,Bürgermeister & Stadtrat,000,,0000,Bürgermeister und Stadträte,Aufwendungen für ehrenamtliche Tätigkeit -Verwaltungsdienst-,Verwaltung & Rathaus,/einrichtung/0000,/posten/0000.4097,/themen/verwaltung
0000.4098,A,verwaltung,0,Allgemeine Verwaltung,00,Bürgermeister & Stadtrat,000,,0000,Bürgermeister und Stadträte,Aufwendungen für ehrenamtliche Tätigkeit -Sonderdienste-,Verwaltung & Rathaus,/einrichtung/0000,/posten/0000.4098,/themen/verwaltung
0000.4099,A,verwaltung,0,Allgemeine Verwaltung,00,Bürgermeister & Stadtrat,000,,0000,Bürgermeister und Stadträte,Aufwendungen für ehrenamtliche Tätigkeit -sonstiges Personal-,Verwaltung & Rathaus,/einrichtung/0000,/posten/0000.4099,/themen/verwaltung
0000.4100,A,verwaltung,0,Allgemeine Verwaltung,00,Bürgermeister & Stadtrat,000,,0000,Bürgermeister und Stadträte,Beamtenbezüge,Verwaltung & Rathaus,/einrichtung/0000,/posten/0000.4100,/themen/verwaltung
